,plsaContext
151,LeftTroll|Before June 9|neutral
152,LeftTroll|Before June 9|negative
153,LeftTroll|Before June 9|neutral
154,LeftTroll|Before June 9|positive
155,LeftTroll|Before June 9|neutral
156,LeftTroll|Before June 9|positive
157,LeftTroll|Before June 9|neutral
158,LeftTroll|Before June 9|negative
159,LeftTroll|Before June 9|neutral
160,LeftTroll|Before June 9|neutral
161,LeftTroll|Before June 9|neutral
162,LeftTroll|Before June 9|neutral
163,LeftTroll|Before June 9|neutral
164,LeftTroll|Before June 9|neutral
165,LeftTroll|Before June 9|positive
166,LeftTroll|Before June 9|neutral
167,LeftTroll|Before June 9|neutral
168,LeftTroll|Before June 9|positive
169,LeftTroll|Before June 9|neutral
170,LeftTroll|Before June 9|negative
171,LeftTroll|Before June 9|positive
172,LeftTroll|Before June 9|neutral
173,LeftTroll|Before June 9|neutral
174,LeftTroll|Before June 9|neutral
175,LeftTroll|Before June 9|neutral
176,LeftTroll|Before June 9|neutral
177,LeftTroll|Before June 9|positive
178,LeftTroll|Before June 9|neutral
179,LeftTroll|Before June 9|neutral
180,LeftTroll|Before June 9|neutral
181,LeftTroll|Before June 9|positive
182,LeftTroll|Before June 9|neutral
183,LeftTroll|Before June 9|positive
184,LeftTroll|Before June 9|neutral
185,LeftTroll|Before June 9|positive
186,LeftTroll|Before June 9|negative
187,LeftTroll|Before June 9|negative
188,LeftTroll|Before June 9|neutral
189,LeftTroll|Before June 9|negative
190,LeftTroll|Before June 9|positive
191,LeftTroll|Before June 9|positive
192,LeftTroll|Before June 9|neutral
193,LeftTroll|Before June 9|positive
194,LeftTroll|Before June 9|negative
195,LeftTroll|Before June 9|negative
196,LeftTroll|Before June 9|positive
197,LeftTroll|Before June 9|negative
198,LeftTroll|Before June 9|positive
199,LeftTroll|Before June 9|neutral
200,LeftTroll|Before June 9|neutral
201,LeftTroll|Before June 9|positive
202,LeftTroll|Before June 9|neutral
203,LeftTroll|Before June 9|neutral
204,LeftTroll|Before June 9|neutral
205,LeftTroll|Before June 9|neutral
206,LeftTroll|Before June 9|neutral
207,LeftTroll|Before June 9|positive
208,LeftTroll|Before June 9|neutral
209,LeftTroll|Before June 9|neutral
210,LeftTroll|Before June 9|positive
211,LeftTroll|Before June 9|neutral
212,LeftTroll|Before June 9|positive
213,LeftTroll|Before June 9|negative
214,LeftTroll|Before June 9|positive
215,LeftTroll|Before June 9|positive
216,LeftTroll|Before June 9|neutral
217,LeftTroll|Before June 9|neutral
218,LeftTroll|Before June 9|neutral
219,LeftTroll|Before June 9|positive
220,LeftTroll|Before June 9|negative
221,LeftTroll|Before June 9|neutral
222,LeftTroll|Before June 9|negative
223,LeftTroll|Before June 9|negative
224,LeftTroll|Before June 9|neutral
225,LeftTroll|Before June 9|neutral
226,LeftTroll|Before June 9|positive
227,LeftTroll|Before June 9|neutral
228,LeftTroll|Before June 9|neutral
229,LeftTroll|Before June 9|positive
230,LeftTroll|Before June 9|negative
231,LeftTroll|Before June 9|neutral
232,LeftTroll|Before June 9|negative
233,LeftTroll|Before June 9|negative
234,LeftTroll|Before June 9|positive
235,LeftTroll|Before June 9|neutral
236,LeftTroll|Before June 9|positive
237,LeftTroll|Before June 9|negative
238,LeftTroll|Before June 9|positive
239,LeftTroll|Before June 9|neutral
240,LeftTroll|Before June 9|positive
241,LeftTroll|Before June 9|negative
242,LeftTroll|Before June 9|positive
243,LeftTroll|Before June 9|neutral
244,LeftTroll|Before June 9|negative
245,LeftTroll|Before June 9|negative
246,LeftTroll|Before June 9|positive
247,LeftTroll|Before June 9|neutral
248,LeftTroll|Before June 9|neutral
249,LeftTroll|Before June 9|negative
250,LeftTroll|Before June 9|neutral
251,LeftTroll|Before June 9|neutral
252,LeftTroll|Before June 9|positive
253,LeftTroll|Before June 9|neutral
254,LeftTroll|Before June 9|neutral
255,LeftTroll|Before June 9|neutral
256,LeftTroll|Before June 9|neutral
257,LeftTroll|Before June 9|negative
258,LeftTroll|Before June 9|positive
259,LeftTroll|Before June 9|neutral
260,LeftTroll|Before June 9|negative
261,LeftTroll|Before June 9|neutral
262,LeftTroll|Before June 9|neutral
263,LeftTroll|Before June 9|neutral
264,LeftTroll|Before June 9|neutral
265,LeftTroll|Before June 9|neutral
266,LeftTroll|Before June 9|neutral
267,LeftTroll|Before June 9|neutral
268,LeftTroll|Before June 9|neutral
269,LeftTroll|Before June 9|neutral
270,LeftTroll|Before June 9|neutral
271,LeftTroll|Before June 9|positive
272,LeftTroll|Before June 9|neutral
273,LeftTroll|Before June 9|positive
274,LeftTroll|Before June 9|negative
275,LeftTroll|Before June 9|negative
276,LeftTroll|On or After June 9|positive
277,LeftTroll|On or After June 9|negative
278,LeftTroll|On or After June 9|positive
279,LeftTroll|On or After June 9|positive
280,LeftTroll|On or After June 9|neutral
281,LeftTroll|On or After June 9|negative
282,LeftTroll|On or After June 9|neutral
283,LeftTroll|On or After June 9|positive
284,LeftTroll|On or After June 9|neutral
285,LeftTroll|On or After June 9|positive
286,LeftTroll|On or After June 9|negative
287,LeftTroll|On or After June 9|neutral
288,LeftTroll|On or After June 9|neutral
289,LeftTroll|On or After June 9|neutral
290,LeftTroll|On or After June 9|negative
291,LeftTroll|On or After June 9|neutral
292,LeftTroll|On or After June 9|neutral
293,LeftTroll|On or After June 9|positive
294,LeftTroll|On or After June 9|positive
295,LeftTroll|On or After June 9|positive
296,LeftTroll|On or After June 9|neutral
297,LeftTroll|On or After June 9|neutral
298,LeftTroll|On or After June 9|neutral
