,Unnamed: 0,Unnamed: 0.1,content,publish_date,retweet,account_category,new_june_2018,dateSent,plsaContext,contextNum
0,0,7596,"wise words . change future today , tomorrow .",2016-04-25 20:01:00,0,LeftTroll,0,Before June 9,LeftTroll|Before June 9,0
1,1,7597,police torment paralyzed black veteran putting water reach lay dying . media keep silent !,2016-04-25 22:30:00,0,LeftTroll,0,Before June 9,LeftTroll|Before June 9,0
